Row Labels,Sum of Total Available Quantity
BOMCF430VL51-6074,9
BOMCF430XL50-6024,1
BOMCF430XL50-6039,0
BOMCF430XL51-6013,0
BOMCF437VL50-6065A,11
BOMCF437VL50-6065B,8
BOMCF438VL50-6064A,1
BOMCF438VL50-6064B,11
BOMCF438XL50-6015,7
BOMCF441XL51-6079A,1
BOMCF441XL51-6079B,0
BOMCF458RL53-6388A,31
BOMCF458RL53-6388B,24
BOMCF458RL53-6389A,30
BOMCF458RL53-6389B,30
BOMCF458SL53-6252A,7
BOMCF458SL53-6252B,0
BOMCF458SL53-6258,47
BOMCF458SL53-6320,10
BOMCF458SL53-6351A,84
BOMCF458SL53-6351B,48
BOMCF458SL53-6371,31
BOMCF458X-FW0478,12
BOMCF537X-FW0588,19
BOMCF537X-FW0589,21
BOMCF570XL52-6118A,16
BOMCF570XL52-6118B,16
BOMCF634XL54-6129,1
BOMCF634XL54-6170,23
BOMCF634XL54-6171A,0
BOMCF634XL54-6171B,0
BOMCF634XL54-6172B,0
BOMCF728RL54-4945I,51
BOMCF728RL54-4945W,61
BOMCF729R-FW0009-C001,59
BOMCF729R-FW0009-C053,45
BOMCF729R-FW0009-C140,201
BOMCF729RL53-4945Q,11
BOMCF730R-FW0009-C001,201
BOMCF730R-FW0009-C048,86
BOMCF730RL53-4945L,1
BOMCF730RL54-4945I,11
BOMCF732R-FW0009-C514,256
BOMCF732RL53-4945AQ,6
BOMCF732RL53-4945AS,113
BOMCF733R-FW0009-C032,73
BOMCF733R-FW0009-C066,84
BOMCF914R-FW0126-C001,108
BOMCF914R-FW0255,33
BOMCF914R-FW0579-C238,157
BOMCF914R-FW0633-C003,89
BOMCF914R-FW0633-C090,104
BOMCF914R-FW0633-C095,99
BOMCF914RL54-3022T,2
BOMCF916RL54-3022A,23
BOMCF916RL54-3022J,21
BOMCF984R-FW0009-C053,72
BOMCF984R-FW0009-C090,61
BOMCF984R-FW0301,38
BOMCF984R-FW0499,3
BOMCF985R-FW0009-C001,86
BOMCF985R-FW0009-C238,41
BOMCF985R-FW0302,50
BOMCF985R-FW0303,54
BOMCF985R-FW0500,32
BOMCH02RC20L38-4485,0
BOMCH151PL48-4121A,0
BOMCH155PL44-3266,0
BOMCH155R-6376,6
BOMCH155R-6445,14
BOMCH155R-6446,18
BOMCH191R-6444,18
BOMCH244RL45-4944C,0
BOMCH244RL45-4944F,0
BOMCH25SC20L31-3249A,0
BOMCH25SC20L31-3249B,0
BOMCH25SC21L04-170,0
BOMCH25SC21L04-171,0
BOMCH274RL46-4944AY,1
BOMCH274RL49-4944CJ,4
BOMCH277V-FW0009-C001,8
BOMCH277V-FW0009-C053,16
BOMCH306PL48-5014,0
BOMCH306RL47-5009,5
BOMCH306RL47-5016,1
BOMCH306RL49-5058,0
BOMCH306RL49-5059,15
BOMCH306RL49-5061,6
BOMCH306RL49-5062,1
BOMCH306RL53-6178,60
BOMCH306RL53-6181,11
BOMCH306RL53-6188,36
BOMCH306RL53-6190,41
BOMCH306RL53-6191,21
BOMCH306RL53-6192,40
BOMCH306RL53-6193,74
BOMCH306RL53-6195,98
BOMCH306RL53-6196,94
BOMCH306RL53-6199,35
BOMCH306RL53-6229A,31
BOMCH306RL53-6229B,32
BOMCH306RL53-6263A,28
BOMCH306RL53-6263B,8
BOMCH306RL53-6346,30
BOMCH306RL53-6369,6
BOMCH306RL53-6373,19
BOMCH306RL53-6375,38
BOMCH306RL53-6377,13
BOMCH306RL53-6378,16
BOMCH306RL53-6379,25
BOMCH306V-6133,4
BOMCH306VL50-6007,0
BOMCH306X-6585,30
BOMCH306X-6586A,23
BOMCH306X-6593,30
BOMCH306XL51-6049,0
BOMCH306XL53-6187,88
BOMCH306XL53-6189,56
BOMCH306XL53-6197,72
BOMCH306XL53-6198,13
BOMCH306XL53-6201,1
BOMCH306XL53-6203,4
BOMCH306XL53-6204,2
BOMCH317RL48-5040,0
BOMCH317VL50-6032,1
BOMCH317VL50-6033,0
BOMCH31RC21L33-3866,0
BOMCH326XL48-3010C,0
BOMCH328XL48-1226E,2
BOMCH32RC21L33-3699,0
BOMCH332XL49-5041C,5
BOMCH341AAL49-5041B,1
BOMCH341AAL49-5041C,185
BOMCH351VL49-5072,0
BOMCH386XL49-5098,0
BOMCH387VL50-6031,0
BOMCH387XL49-5099A,0
BOMCH387XL49-5099B,2
BOMCH388VL50-5013,12
BOMCH388VL50-5016,0
BOMCH388VL50-6009,9
BOMCH388VL50-6011,1
BOMCH426VL50-6018,0
BOMCH915RL54-3022G,65
BOMCH915RL54-4496,57
BOMCJ103RL43-1224AO,0
BOMCJ146RL45-4945A,0
BOMCJ146RL45-4945U,0
BOMCJ146RL45-4945W,1
BOMCJ229ABL49-1315CA,0
BOMCJ229ABL49-1315D,1
BOMCJ249XL49-1315A,0
BOMCJ249XL49-1315U,0
BOMCJ368ZL52-6103B,0
BOMCJ368ZL52-6103C,0
BOMCJ585X-FW0008-C008,17
BOMCJ585X-FW0008-C133,19
BOMCL731RL53-4945F,1
BOMCL731RL53-4945M,4
BOMCL731RL53-4945R,0
BOMCO25L50-P15,6
BOMCO31XL50-P21,2
BOMCOH100VL54-5000-P2,102
BOMCOH101VL54-5000-P2,83
BOMCOH102VL54-5000-P2,66
BOMCOH103VL54-5000-P2,67
BOMCOH104VL54-5000-P2,65
BOMCOH105VL54-5000-P2,42
BOMCOH106VL54-5000-P2,47
BOMCOH107VL54-5000-P2,71
BOMCOH108VL54-5000-P2,66
BOMCOH109VL54-5000-P3,72
BOMCOH110VL54-5000-P3,57
BOMCOH111VL54-5000-P3,76
BOMCOH112VL54-5000-P3,71
BOMCOH113VL54-5000-P3,108
BOMCOH114VL54-5000-P3,45
BOMCOH115VL54-5000-P3,47
BOMCOH116VL54-5000-P3,41
BOMCOH117VL54-5000-P3,71
BOMCOH118VL54-5000-P3,47
BOMCOH119VL54-5000-P3,125
BOMCOH120VL54-5000-P3,64
BOMCOH121VL54-5000-P3,36
BOMCOH122VL54-5000-P3,36
BOMCOH13VL46-5000A,93
BOMCOH13VL46-5000C,183
BOMCOH13VL49-5000E,155
BOMCOH13VL50-5000A-A111,1
BOMCOH13VL50-5000A-A114,1
BOMCOH13VL50-5000C-A95,2
BOMCOH17YL49-3045N-A58,0
BOMCOH54RL54-5000-P2,390
BOMCOH55RL54-5000-P2,239
BOMCOH57RL54-5000-P2,145
BOMCOH58RL54-5000-P2,235
BOMCOH59RL54-5000-P2,137
BOMCOH60RL54-5000-P2,145
BOMCOH61RL54-5000-P2,137
BOMCOH62RL54-5000-P2,235
BOMCOH67RL54-5000-P3,145
BOMCOH68RL54-5000-P3,137
BOMCOH69RL54-5000-P3,128
BOMCOH71RL54-5000-P3,128
BOMCOH72RL54-5000-P3,239
BOMCOH74VL54-5000-P2,178
BOMCOH75VL54-5000-P2,56
BOMCOH76VL54-5000-P2,54
BOMCOH77VL54-5000-P2,65
BOMCOH78VL54-5000-P2,76
BOMCOH79VL54-5000-P2,72
BOMCOH80VL54-5000-P2,72
BOMCOH81VL54-5000-P2,45
BOMCOH82VL54-5000-P2,133
BOMCOH83VL54-5000-P2,133
BOMCOH84VL54-5000-P2,47
BOMCOH85VL54-5000-P2,41
BOMCOH86VL54-5000-P2,34
BOMCOH87VL54-5000-P2,74
BOMCOH88VL54-5000-P2,135
BOMCOH89VL54-5000-P2,38
BOMCOH90VL54-5000-P2,111
BOMCOH91VL54-5000-P2,45
BOMCOH92VL54-5000-P2,130
BOMCOH93VL54-5000-P2,147
BOMCOH94VL54-5000-P2,109
BOMCOH95VL54-5000-P2,145
BOMCOH96VL54-5000-P2,71
BOMCOH97VL54-5000-P2,132
BOMCOH98VL54-5000-P2,44
BOMCOH99VL54-5000-P2,36
BOMCS113S-1080BJ,46
BOMCS113S-1080CE,1
BOMCS113S-1080FG,65
BOMCS113S-1080W,89
BOMCS166XL48-1080R,0
BOMCS171RL46-4841B,0
BOMCS182XL49-1080DA,0
BOMCS182XL52-1080A,0
BOMCS219XL49-5041B,2
BOMCS219XL51-5041K,9
BOMCS221XL49-5041D,0
BOMCS227PX-4945-CTP,262
BOMCS227PX-FW0009-C006,34
BOMCS227PX-FW0009-C140,32
BOMCS227XL49-4945CT,27
BOMCS227XL51-4945A,59
BOMCS227XL51-4945CE,86
BOMCS517R-1315AV,12
BOMCS517R-1315CA,16
BOMCS517R-1315CC,17
BOMCS517R-1315W,6
BOMCS517XL53-1315CA,22
BOMCS517XL53-1315W,14
BOMCS517ZL53-1315AV,62
BOMCS517ZL53-1315CC,19
BOMCS781R-FW0020,79
BOMCS781R-FW0024,90
BOMCS797ZL53-1315CA,158
BOMCS797ZL54-1315AV,136
BOMCS860R-FW0020,96
BOMCS860R-FW0021,96
BOMCT1051X-FW0008-C477,0
BOMCT150SL45-1224A,0
BOMCT159XL46-1080-CTP,0
BOMCT163GL45-1080A,0
BOMCT163GL45-1080W,0
BOMCT164XL45-1080A,0
BOMCT164XL45-1080P,0
BOMCT164XL45-1080W,1
BOMCT164XL52-1315BJ,0
BOMCT164XL52-1315DI,1
BOMCT164XL54-1315FO,0
BOMCT166PXL48-1315D,0
BOMCT166PXL48-1315W,9
BOMCT166XL46-1080BX,1
BOMCT166XL46-1080-CTP,2
BOMCT166XL46-1080W,17
BOMCT166XL47-1080Q,0
BOMCT166XL47-1080R,248
BOMCT167R-1315AW,1
BOMCT167R-1315CA,46
BOMCT173QL46-4945A,65
BOMCT173QL46-4945AO,0
BOMCT173QL46-4945P,0
BOMCT173QL47-4945AP,0
BOMCT173QL47-4945AV,56
BOMCT173QL47-4945BQ,97
BOMCT173QL51-3602P,1
BOMCT173QL51-4945EC,2
BOMCT173QL54-4945BJ,3
BOMCT173QL54-4945CA,1
BOMCT175RL46-1224U,0
BOMCT182XL46-1080BJ,0
BOMCT182XL46-1080W,0
BOMCT182XL47-1080A-R25,1
BOMCT182XL49-1315AW,0
BOMCT182XL49-1315P,158
BOMCT182XL50-1315CC,0
BOMCT182XL54-1315R,0
BOMCT184IL46-1080CA,1
BOMCT184IL46-1080-CTP,2
BOMCT184IL47-1080U,50
BOMCT184IL47-1080V,0
BOMCT184IL49-1315AV,0
BOMCT184IL49-1315CC,4
BOMCT184IL50-1315BJ,0
BOMCT201IL48-1315A,0
BOMCT201IL48-1315AW,0
BOMCT201IL48-1315V,0
BOMCT201PIL48-1224AP,1
BOMCT201PIL48-1224P,0
BOMCT208XL48-1315A,0
BOMCT208XL48-1315W,0
BOMCT215GL49-1315A,0
BOMCT215GL49-1315W,0
BOMCT228QL49-1247CE,0
BOMCT228QL49-1247-CTP,0
BOMCT228QL49-1247W,0
BOMCT228QL50-1113B,0
BOMCT228QL50-1113F,0
BOMCT245GL49-1315BQ,0
BOMCT245GL49-1315CO,0
BOMCT245GL49-1315-CTP,0
BOMCT246GL49-1315A,0
BOMCT246GL49-1315D,180
BOMCT246GL52-1315DI,0
BOMCT246GL52-1315U-A304,6
BOMCT286AC-FW0008-C008,888
BOMCT286AC-FW0008-C022,37
BOMCT286AC-FW0008-C047,56
BOMCT286AC-FW0008-C112,110
BOMCT286AC-FW0008-C140,15
BOMCT286AF-1226CG,0
BOMCT286AF-FW0008-C006,160
BOMCT286AF-FW0008-C099,1184
BOMCT286AF-FW0008-C141,2
BOMCT286AF-FW0008-C357,2
BOMCT286R-1080CA,145
BOMCT286R-1080W,119
BOMCT286X-1080BF,97
BOMCT286X-1080BJ,100
BOMCT286X-FW0008-C168,1
BOMCT286Z-FW0008-C001,48
BOMCT286Z-FW0008-C041,43
BOMCT286Z-FW0008-C172,68
BOMCT286ZL52-1226CA,11
BOMCT286ZL52-1226U,74
